,Team,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
0,FPX,ANGE1,Logitech G Pro X Superlight,1000,800,0.5,400,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Razer Strider,Razer BlackWidow X Chroma ME,HyperX Cloud Revolver
1,FPX,Shao,Xtrfy M4 Wireless,1000,400,0.428,171,1,BenQ XL2546,240,RTX 2080 Super,1920x1080,VAXEE PA Black,HyperX Alloy FPS,HyperX Cloud II
2,FPX,ardiis,Logitech G Pro X Superlight,1000,800,0.295,236,1.14,AOC AG251FZ2E,240,RTX 2080,1920x1080,Artisan Hien FX Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
3,FPX (B),rhyme,VAXEE ZYGEN NP-01,1000,400,0.5,200,1,BenQ XL2546,240,RTX 3080,1280x960,Zowie G-SR-SE Deep Blue,Xtrfy K4-RGB TKL,HyperX Cloud II
4,FPX,Zyppan,Logitech G Pro X Superlight Black,1000,400,0.48,192,1,,,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,,
5,FPX,Suygetsu,Zowie EC2,1000,800,0.25,200,1.1,BenQ XL2411,144,GTX 1070,1920x1080,Artisan FX Zero Soft,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
6,Paper Rex,f0rsakeN,Logitech G Pro X Superlight,1000,800,0.712,569,1,BenQ XL2546K,240,GALAX GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,HyperX Alloy Origins Core,Logitech G Pro X Headset
7,Paper Rex,d4v41,Logitech G Pro X Superlight,1000,900,0.65,585,1,BenQ XL2546,240,GTX 1080 Ti,1440x990,SteelSeries QcK Heavy,HyperX Alloy FPS RGB,Razer HammerHead Pro V2
8,Paper Rex,Jinggg,FinalMouse Starlight 12,1000,1600,0.2,320,1,BenQ XL2546K,240,RTX 2080 Ti,1280x960,Artisan FX Zero Soft,HyperX Alloy Origins Core,Logitech G Pro X Headset
9,Paper Rex,Benkai,Pulsar X2,1000,800,0.25,200,0.7,BenQ XL2546K,240,RTX 2070 Super,1280x960,Artisan Hien FX Soft,Ducky One 2 Mini RGB,EPOS H6PRO White
